file,variable,renamed_to,status
G126_PAdata.sav,G126_BPD1,,harmonised
G126_PAdata.sav,G126_BPD2,,harmonised
G126_PAdata.sav,G126_BPD3,,harmonised
G126_PAdata.sav,G126_BPD4,,harmonised
G126_PAdata.sav,G126_BPD5,,harmonised
G126_PAdata.sav,G126_BPD6,,harmonised
G126_PAdata.sav,G126_BPS1,,harmonised
G126_PAdata.sav,G126_BPS2,,harmonised
G126_PAdata.sav,G126_BPS3,,harmonised
G126_PAdata.sav,G126_BPS4,,harmonised
G126_PAdata.sav,G126_BPS5,,harmonised
G126_PAdata.sav,G126_BPS6,,harmonised
G126_PAdata.sav,G126_SHR1,,harmonised
G126_PAdata.sav,G126_SHR2,,harmonised
G126_PAdata.sav,G126_SHR3,,harmonised
G126_PAdata.sav,G126_SHR4,,harmonised
G126_PAdata.sav,G126_SHR5,,harmonised
G126_PAdata.sav,G126_SHR6,,harmonised
G126_PAdata.sav,G126_BPSL,,harmonised
G126_PAdata.sav,G126_WKBP,,harmonised
G126_PAdata.sav,G126_SLPT,,harmonised
G126_PAdata.sav,G126_WKT,,harmonised
G126_PAdata.sav,G126_SL_COM,,harmonised
G126_PAdata.sav,G126_BPD7,,deleted
G126_PAdata.sav,G126_BPD8,,deleted
G126_PAdata.sav,G126_BPS7,,deleted
G126_PAdata.sav,G126_BPS8,,deleted
G126_PAdata.sav,G126_SHR7,,deleted
G126_PAdata.sav,G126_SHR8,,deleted
G208_PA.sav,G208_BP9,,harmonised
G208_PA.sav,G208_BP10,,harmonised
G208_PA.sav,G208_BP11,,harmonised
G208_PA.sav,G208_BP12_2,,harmonised
G208_PA.sav,G208_BP13_2,,harmonised
G208_PA.sav,G208_BP14_2,,harmonised
G208_PA.sav,G208_BP15_2,,harmonised
G208_PA.sav,G208_BP16_2,,harmonised
G208_PA.sav,G208_BP17_2,,harmonised
G208_PA.sav,G208_BP18_2,,harmonised
G208_PA.sav,G208_BP19_2,,harmonised
G208_PA.sav,G208_BP20_2,,harmonised
G208_PA.sav,G208_BP21,,harmonised
G208_PA.sav,G208_BP22,,harmonised
G208_PA.sav,G208_BP23,,harmonised
